epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.13,1.98134,1.71446,2.15612,0.82421,0.85841,0.88567,0.33862,1.90742,1.86609,1.77972,0.0003,0.0003,0.0003
2,28.1426,1.53841,1.0603,1.65843,0.83839,0.86726,0.90011,0.36255,1.95462,1.14674,1.63879,0.000611816,0.000611816,0.000611816
3,40.6588,1.28357,0.83764,1.45878,0.75688,0.85398,0.82454,0.30812,2.15197,1.13045,1.85055,0.000915184,0.000915184,0.000915184
4,53.1642,1.14566,0.73675,1.3427,0.89319,0.88938,0.92386,0.37473,1.96122,0.97544,1.6942,0.0012101,0.0012101,0.0012101
5,65.6754,1.04654,0.69169,1.26517,0.74028,0.82743,0.84556,0.31712,2.10475,1.11388,1.92433,0.00149658,0.00149658,0.00149658
6,78.0084,1.01585,0.64688,1.25061,0.84423,0.65487,0.75417,0.26096,2.23882,1.35696,2.079,0.0017746,0.0017746,0.0017746
7,90.5946,1.00289,0.63057,1.23348,0.78538,0.81769,0.82099,0.31679,2.04409,1.04785,1.99093,0.0018416,0.0018416,0.0018416
8,103.002,0.94842,0.60028,1.19617,0.75067,0.79204,0.83832,0.32386,2.1222,1.30027,2.21269,0.0018152,0.0018152,0.0018152
9,115.495,0.88211,0.57839,1.14499,0.38214,0.58291,0.34101,0.10653,2.44684,2.23259,2.24604,0.0017888,0.0017888,0.0017888
10,127.922,0.83326,0.54445,1.11199,0.81187,0.72566,0.77877,0.29743,2.16043,1.34107,2.20162,0.0017624,0.0017624,0.0017624
11,140.339,0.79227,0.50285,1.08253,0.81795,0.76541,0.80683,0.29917,2.26073,1.16476,2.32335,0.001736,0.001736,0.001736
12,152.748,0.74633,0.47222,1.04903,0.84488,0.81195,0.84912,0.30723,2.2335,1.12601,2.33444,0.0017096,0.0017096,0.0017096
13,165.214,0.69931,0.4443,1.01773,0.8467,0.85539,0.88963,0.34651,2.12675,1.02413,2.35407,0.0016832,0.0016832,0.0016832
14,177.613,0.67812,0.42687,1.01005,0.77681,0.7931,0.83151,0.31869,2.14527,1.15433,2.3715,0.0016568,0.0016568,0.0016568
15,190.083,0.62933,0.39893,0.98135,0.78719,0.77434,0.73722,0.27178,2.20708,1.10524,2.57438,0.0016304,0.0016304,0.0016304
16,202.449,0.61057,0.38689,0.97022,0.89351,0.83537,0.86736,0.3371,2.19457,0.93634,2.46179,0.001604,0.001604,0.001604
17,215.001,0.57584,0.36648,0.94956,0.88736,0.8714,0.88699,0.35396,2.09436,0.89837,2.41262,0.0015776,0.0015776,0.0015776
18,227.311,0.56777,0.36339,0.94473,0.86185,0.84513,0.88094,0.33947,2.14401,0.9366,2.46898,0.0015512,0.0015512,0.0015512
19,239.671,0.53576,0.34618,0.93256,0.91704,0.84735,0.8973,0.35686,2.13587,0.95572,2.55532,0.0015248,0.0015248,0.0015248
20,252.24,0.52638,0.33844,0.92631,0.893,0.88632,0.9205,0.37328,2.11418,0.91811,2.53008,0.0014984,0.0014984,0.0014984
21,264.56,0.51473,0.33667,0.91748,0.90937,0.84356,0.89466,0.3549,2.12512,1.02283,2.48396,0.001472,0.001472,0.001472
