epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2006,1.84578,1.32703,3.07075,0.802,0.88496,0.8386,0.31213,2.1594,1.00996,2.17383,0.0004,0.0004,0.0004
2,19.0066,1.46642,0.87851,2.00982,0.83762,0.78982,0.8677,0.31309,2.17125,1.0761,2.1585,0.00079294,0.00079294,0.00079294
3,25.9326,1.27782,0.76463,1.8249,0.81657,0.81416,0.85982,0.3091,2.23357,1.03373,2.16592,0.00115816,0.00115816,0.00115816
4,32.9006,1.12551,0.6785,1.66938,0.83122,0.7954,0.86717,0.31189,2.20122,1.07705,2.11607,0.00149566,0.00149566,0.00149566
5,39.7716,1.03749,0.64146,1.58305,0.88935,0.86283,0.90397,0.31716,2.31724,1.02406,2.38413,0.001736,0.001736,0.001736
6,46.7076,1.02755,0.65867,1.54807,0.81094,0.82558,0.85972,0.31924,2.17384,1.09298,2.21252,0.00167,0.00167,0.00167
7,53.6778,0.96194,0.63376,1.50224,0.71369,0.65708,0.69132,0.25175,2.26993,1.28634,2.32778,0.001604,0.001604,0.001604
8,60.5618,0.86551,0.59584,1.39566,0.7104,0.65487,0.71019,0.22175,2.43161,1.32188,2.57783,0.001538,0.001538,0.001538
9,67.3548,0.77359,0.5185,1.32722,0.76697,0.77434,0.8027,0.27811,2.34202,1.07304,2.50268,0.001472,0.001472,0.001472
10,74.3148,0.71634,0.49749,1.25338,0.63183,0.7214,0.63661,0.19843,2.42562,1.27118,2.52348,0.001406,0.001406,0.001406
11,81.41,0.63539,0.45053,1.17831,0.74853,0.7639,0.77382,0.26063,2.31456,1.21686,2.47846,0.00134,0.00134,0.00134
12,88.5502,0.62528,0.43238,1.15744,0.66897,0.61251,0.64404,0.23954,2.33776,1.41969,2.5696,0.001274,0.001274,0.001274
13,95.5902,0.56326,0.39638,1.09071,0.7713,0.78319,0.82003,0.2875,2.2587,1.09416,2.49632,0.001208,0.001208,0.001208
14,102.604,0.5044,0.36444,1.04097,0.73451,0.70133,0.72658,0.26999,2.21143,1.16377,2.37335,0.001142,0.001142,0.001142
15,109.566,0.47163,0.34659,1.01266,0.70281,0.66372,0.70329,0.23374,2.38348,1.30626,2.70287,0.001076,0.001076,0.001076
16,119.26,0.4477,0.33461,0.99057,0.82273,0.77212,0.85037,0.33009,2.13041,1.09651,2.35418,0.00101,0.00101,0.00101
17,126.347,0.41992,0.31736,0.96054,0.85189,0.67443,0.76253,0.27068,2.28029,1.27653,2.63838,0.000944,0.000944,0.000944
18,133.441,0.38753,0.28877,0.94626,0.83328,0.77404,0.83065,0.31998,2.18253,1.26017,2.52048,0.000878,0.000878,0.000878
19,140.343,0.34931,0.27126,0.91634,0.8388,0.81858,0.84631,0.32878,2.14024,0.97836,2.49413,0.000812,0.000812,0.000812
20,147.391,0.32138,0.25632,0.90215,0.83548,0.74152,0.83244,0.3365,2.12193,1.15148,2.38529,0.000746,0.000746,0.000746
21,154.351,0.29667,0.24358,0.88078,0.85886,0.78319,0.85862,0.34833,2.16508,1.1113,2.54292,0.00068,0.00068,0.00068
22,161.351,0.27302,0.22622,0.8664,0.86351,0.77876,0.86573,0.34938,2.16848,1.26647,2.5684,0.000614,0.000614,0.000614
23,168.405,0.25594,0.21209,0.85619,0.86009,0.73443,0.83811,0.34738,2.14861,1.40079,2.47214,0.000548,0.000548,0.000548
24,175.364,0.23215,0.20036,0.8413,0.88634,0.77634,0.86713,0.35922,2.13457,1.28228,2.46964,0.000482,0.000482,0.000482
25,182.308,0.21553,0.1854,0.83386,0.85419,0.75175,0.86305,0.36444,2.11501,1.25435,2.45514,0.000416,0.000416,0.000416
26,189.451,0.18769,0.17191,0.8198,0.8548,0.74115,0.84084,0.35109,2.10992,1.31752,2.47835,0.00035,0.00035,0.00035
27,196.466,0.17134,0.16147,0.81258,0.8938,0.73894,0.86956,0.37412,2.09013,1.35768,2.44112,0.000284,0.000284,0.000284
28,203.52,0.15314,0.14956,0.80539,0.88749,0.75041,0.88272,0.3767,2.09869,1.34681,2.46192,0.000218,0.000218,0.000218
29,210.406,0.13606,0.14014,0.79897,0.89899,0.72788,0.87214,0.38013,2.08853,1.39911,2.46758,0.000152,0.000152,0.000152
30,217.224,0.12305,0.13129,0.79377,0.90884,0.72786,0.87682,0.38279,2.08951,1.4321,2.46784,8.6e-05,8.6e-05,8.6e-05
